                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4259,                 1.2033,                 1.4264,                0.79854,                 0.7637,                0.82302,                 0.5084,                 1.1561,                0.92694,                 1.2518,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.3442,                0.90819,                 1.3331,                0.82596,                 0.7506,                0.82977,                0.50681,                 1.1702,                0.75341,                 1.2666,              0.0065991,              0.0065991,              0.0065991
                      3,                 1.3912,                0.99632,                 1.3682,                0.79764,                0.72724,                0.78914,                0.47863,                 1.1701,                 0.8943,                 1.2931,              0.0098005,              0.0098005,              0.0098005
                      4,                 1.4154,                 1.0598,                 1.4013,                0.81002,                0.73033,                0.80503,                0.48507,                  1.161,                0.78285,                 1.3014,               0.009703,               0.009703,               0.009703
                      5,                 1.3766,                0.98368,                 1.3745,                0.84291,                0.79678,                0.85439,                0.53057,                 1.1512,                 0.6796,                 1.2803,               0.009703,               0.009703,               0.009703
                      6,                  1.336,                0.89224,                 1.3601,                0.83004,                0.79125,                0.84066,                 0.5276,                 1.1235,                0.68384,                 1.2803,               0.009604,               0.009604,               0.009604
                      7,                 1.3086,                0.85006,                 1.3425,                0.84424,                0.79233,                0.85106,                0.52834,                 1.1154,                0.63391,                  1.304,               0.009505,               0.009505,               0.009505
                      8,                 1.2894,                0.80339,                 1.3363,                 0.8472,                 0.8122,                0.87058,                0.53931,                 1.1035,                0.61867,                 1.2797,               0.009406,               0.009406,               0.009406
                      9,                 1.2615,                0.76828,                 1.3232,                0.84737,                0.82116,                0.85904,                0.53286,                 1.0989,                 0.6045,                 1.3056,               0.009307,               0.009307,               0.009307
                     10,                 1.2432,                 0.7387,                 1.3137,                0.85276,                0.81797,                0.86672,                0.55094,                 1.0881,                0.56903,                 1.2696,               0.009208,               0.009208,               0.009208
                     11,                 1.2186,                0.70907,                 1.2961,                0.85781,                0.81854,                0.87369,                0.55994,                 1.0903,                0.56751,                 1.2705,               0.009109,               0.009109,               0.009109
                     12,                 1.2013,                0.68757,                 1.2832,                0.85651,                0.79852,                0.86136,                0.55191,                 1.0515,                0.57341,                 1.2522,                0.00901,                0.00901,                0.00901
                     13,                 1.1865,                0.67443,                 1.2837,                0.86665,                0.81895,                0.87538,                0.55754,                 1.0771,                 0.5403,                 1.2689,               0.008911,               0.008911,               0.008911
                     14,                 1.1685,                0.65132,                 1.2646,                0.85875,                0.83111,                0.88121,                0.55877,                 1.0619,                0.52424,                 1.2612,               0.008812,               0.008812,               0.008812
                     15,                 1.1538,                0.63935,                 1.2621,                0.85387,                0.84076,                0.86449,                0.55178,                 1.0658,                0.54431,                 1.2912,               0.008713,               0.008713,               0.008713
                     16,                  1.143,                0.62087,                 1.2554,                0.83946,                 0.8391,                0.86936,                0.56452,                 1.0591,                0.53356,                 1.2528,               0.008614,               0.008614,               0.008614
                     17,                 1.1314,                0.60552,                 1.2414,                0.86348,                0.83681,                0.87935,                0.57352,                  1.064,                0.52181,                 1.2651,               0.008515,               0.008515,               0.008515
