                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4171,                 1.1796,                 1.4152,                0.81946,                0.77582,                0.83062,                 0.5087,                 1.1696,                0.73866,                 1.2397,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.3403,                 0.9206,                 1.3358,                0.83253,                 0.7815,                0.85614,                0.52501,                 1.1261,                0.66349,                 1.2296,              0.0065992,              0.0065992,              0.0065992
                      3,                 1.3842,                 1.0096,                 1.3573,                0.78736,                0.74962,                0.81143,                0.47962,                 1.1811,                0.81332,                 1.2764,              0.0098006,              0.0098006,              0.0098006
                      4,                 1.4131,                 1.0779,                 1.3987,                0.81821,                0.72609,                0.81154,                0.48459,                 1.1404,                0.80139,                 1.2713,               0.009703,               0.009703,               0.009703
                      5,                 1.3784,                0.98811,                 1.3776,                0.82927,                0.79443,                 0.8513,                0.51708,                 1.1261,                0.70139,                  1.278,               0.009703,               0.009703,               0.009703
                      6,                  1.336,                0.91843,                  1.361,                0.84371,                0.78565,                 0.8481,                0.52357,                 1.0943,                0.63414,                 1.2712,               0.009604,               0.009604,               0.009604
                      7,                 1.3123,                0.86032,                 1.3425,                0.82498,                0.78553,                0.84561,                0.52375,                 1.1064,                0.64958,                 1.2745,               0.009505,               0.009505,               0.009505
                      8,                  1.273,                0.81145,                 1.3299,                0.83942,                0.80037,                0.86106,                0.54044,                 1.0871,                0.59242,                 1.2562,               0.009406,               0.009406,               0.009406
                      9,                 1.2622,                0.77365,                 1.3169,                0.86724,                0.79602,                0.85605,                0.54558,                 1.0759,                0.56558,                 1.2486,               0.009307,               0.009307,               0.009307
                     10,                  1.245,                0.73872,                 1.3085,                0.85802,                0.81965,                0.87249,                0.55605,                 1.0589,                0.54281,                 1.2494,               0.009208,               0.009208,               0.009208
                     11,                 1.2286,                0.71991,                 1.2921,                0.85098,                0.82248,                0.86498,                0.53997,                 1.0614,                0.54748,                 1.2482,               0.009109,               0.009109,               0.009109
                     12,                 1.1971,                0.69291,                 1.2789,                 0.8588,                0.83096,                0.87724,                0.55779,                 1.0417,                0.52236,                 1.2412,                0.00901,                0.00901,                0.00901
                     13,                 1.1868,                0.67542,                 1.2752,                0.85769,                0.82941,                0.87542,                0.56173,                 1.0446,                 0.5201,                 1.2553,               0.008911,               0.008911,               0.008911
                     14,                  1.176,                0.65528,                  1.269,                0.87314,                0.83351,                0.88119,                 0.5615,                 1.0491,                0.50438,                  1.252,               0.008812,               0.008812,               0.008812
                     15,                 1.1593,                 0.6414,                 1.2659,                0.87031,                0.83099,                0.88037,                0.56341,                 1.0618,                0.49928,                 1.2549,               0.008713,               0.008713,               0.008713
                     16,                 1.1433,                0.62678,                 1.2476,                0.87172,                0.83077,                0.88201,                0.56308,                 1.0373,                 0.4791,                 1.2404,               0.008614,               0.008614,               0.008614
                     17,                 1.1277,                0.61591,                 1.2457,                 0.8614,                0.84214,                0.88041,                0.56777,                 1.0471,                0.48121,                 1.2614,               0.008515,               0.008515,               0.008515
                     18,                 1.1196,                0.60342,                 1.2399,                0.85738,                0.84183,                0.88131,                0.57071,                 1.0406,                0.47878,                 1.2532,               0.008416,               0.008416,               0.008416
                     19,                 1.1105,                0.59715,                 1.2331,                0.85629,                0.84757,                 0.8778,                0.56811,                 1.0208,                0.47303,                 1.2517,               0.008317,               0.008317,               0.008317
                     20,                 1.0942,                0.58477,                 1.2227,                0.87058,                0.83246,                 0.8753,                 0.5674,                 1.0341,                0.47538,                 1.2389,               0.008218,               0.008218,               0.008218
                     21,                 1.0849,                0.56665,                 1.2134,                0.85779,                0.84767,                0.87676,                0.56811,                 1.0469,                0.47885,                 1.2456,               0.008119,               0.008119,               0.008119
                     22,                 1.0703,                0.56292,                 1.2037,                0.85156,                0.84124,                0.87234,                   0.57,                 1.0578,                0.47218,                 1.2618,                0.00802,                0.00802,                0.00802
                     23,                 1.0603,                0.55313,                 1.2014,                 0.8686,                0.82547,                0.87578,                0.56805,                 1.0493,                0.47061,                 1.2559,               0.007921,               0.007921,               0.007921
                     24,                  1.057,                0.54939,                 1.1994,                 0.8555,                0.84819,                0.88097,                0.57553,                 1.0332,                0.46182,                 1.2569,               0.007822,               0.007822,               0.007822
                     25,                 1.0439,                0.53815,                 1.1867,                 0.8823,                0.82963,                0.88521,                 0.5794,                 1.0451,                0.45882,                 1.2667,               0.007723,               0.007723,               0.007723
                     26,                 1.0315,                0.52973,                 1.1885,                0.86103,                0.83423,                0.87629,                0.57428,                 1.0352,                0.45922,                 1.2501,               0.007624,               0.007624,               0.007624
                     27,                  1.025,                0.52555,                 1.1791,                0.87748,                0.82475,                0.87892,                 0.5767,                 1.0406,                0.45769,                 1.2551,               0.007525,               0.007525,               0.007525
                     28,                 1.0152,                0.51206,                 1.1698,                0.87128,                0.83317,                0.87568,                0.57272,                 1.0441,                0.46642,                 1.2543,               0.007426,               0.007426,               0.007426
                     29,                 1.0081,                0.51304,                 1.1669,                0.86764,                0.84419,                0.88277,                0.58003,                 1.0295,                0.45176,                 1.2592,               0.007327,               0.007327,               0.007327
                     30,                0.99216,                0.50102,                 1.1583,                0.86731,                0.83357,                 0.8783,                0.57506,                 1.0362,                0.45315,                 1.2492,               0.007228,               0.007228,               0.007228
                     31,                0.98463,                0.49734,                 1.1587,                0.87132,                0.83392,                0.87947,                0.57562,                 1.0321,                0.45773,                  1.245,               0.007129,               0.007129,               0.007129
                     32,                0.98188,                0.49278,                  1.147,                0.86592,                0.84227,                0.88118,                0.57676,                 1.0352,                0.45155,                 1.2444,                0.00703,                0.00703,                0.00703
                     33,                0.97412,                0.48671,                 1.1497,                0.87826,                 0.8399,                0.88185,                 0.5781,                 1.0355,                0.44444,                 1.2606,               0.006931,               0.006931,               0.006931
                     34,                0.96795,                0.48588,                 1.1425,                0.87711,                0.82955,                0.87821,                0.57582,                 1.0343,                0.45462,                 1.2514,               0.006832,               0.006832,               0.006832
                     35,                0.95592,                0.47754,                  1.137,                0.88282,                0.83103,                0.87475,                0.57493,                 1.0378,                0.45688,                 1.2666,               0.006733,               0.006733,               0.006733
                     36,                0.94943,                 0.4742,                  1.135,                0.88248,                0.83668,                0.87713,                0.57804,                 1.0352,                 0.4546,                  1.267,               0.006634,               0.006634,               0.006634
                     37,                0.94778,                0.47081,                 1.1402,                0.86543,                0.84548,                0.87975,                0.58071,                 1.0367,                0.45196,                 1.2747,               0.006535,               0.006535,               0.006535
                     38,                 0.9341,                0.46253,                 1.1325,                0.87842,                0.83042,                 0.8803,                0.58015,                 1.0337,                0.45086,                 1.2741,               0.006436,               0.006436,               0.006436
                     39,                 0.9338,                0.46215,                 1.1275,                0.87863,                0.83041,                 0.8826,                0.58207,                 1.0315,                0.44805,                 1.2709,               0.006337,               0.006337,               0.006337
                     40,                0.92838,                0.45887,                 1.1248,                0.87658,                0.83425,                0.88178,                0.58212,                 1.0364,                0.44793,                 1.2748,               0.006238,               0.006238,               0.006238
                     41,                0.91168,                0.45107,                 1.1159,                0.88061,                0.83682,                0.88351,                0.58074,                 1.0399,                0.45146,                 1.2839,               0.006139,               0.006139,               0.006139
                     42,                0.91238,                0.45164,                 1.1143,                0.87961,                0.83701,                0.88239,                0.58043,                 1.0402,                0.45336,                 1.2907,                0.00604,                0.00604,                0.00604
                     43,                0.91102,                0.44963,                 1.1117,                0.87707,                0.84173,                 0.8827,                0.58033,                 1.0416,                0.45526,                 1.2937,               0.005941,               0.005941,               0.005941
                     44,                0.89131,                0.43994,                 1.1025,                0.87971,                0.83606,                 0.8826,                0.58219,                  1.042,                0.45489,                 1.2926,               0.005842,               0.005842,               0.005842
                     45,                0.89118,                0.43797,                 1.1006,                0.88586,                0.83233,                0.88258,                0.58321,                 1.0393,                0.45354,                 1.2885,               0.005743,               0.005743,               0.005743
                     46,                0.88507,                0.43417,                 1.0998,                0.87026,                0.84224,                0.88342,                0.58386,                 1.0364,                0.45109,                 1.2876,               0.005644,               0.005644,               0.005644
                     47,                0.87889,                0.43309,                 1.0997,                0.88514,                0.82841,                0.88443,                0.58425,                 1.0355,                0.45347,                 1.2907,               0.005545,               0.005545,               0.005545
                     48,                0.86597,                0.42509,                  1.087,                0.86681,                0.84339,                0.88285,                0.58342,                 1.0351,                 0.4542,                 1.2912,               0.005446,               0.005446,               0.005446
                     49,                0.86356,                0.42515,                 1.0909,                0.87868,                0.83257,                0.88271,                0.58404,                 1.0361,                0.45736,                 1.2933,               0.005347,               0.005347,               0.005347
                     50,                0.86068,                0.42105,                 1.0916,                0.87872,                0.83298,                0.88116,                0.58288,                 1.0383,                0.45942,                 1.2979,               0.005248,               0.005248,               0.005248
                     51,                0.85113,                0.41831,                 1.0835,                0.87166,                 0.8379,                0.88062,                0.58193,                 1.0381,                 0.4587,                 1.2996,               0.005149,               0.005149,               0.005149
                     52,                 0.8472,                0.41423,                  1.073,                0.87026,                 0.8393,                0.88046,                 0.5827,                  1.039,                0.46058,                 1.3013,                0.00505,                0.00505,                0.00505
                     53,                0.84508,                0.41271,                 1.0775,                0.86994,                0.84015,                0.88041,                0.58186,                 1.0383,                0.46356,                 1.3041,               0.004951,               0.004951,               0.004951
                     54,                 0.8315,                0.40929,                 1.0724,                0.86946,                0.83724,                0.87922,                0.58081,                 1.0376,                0.46299,                 1.3051,               0.004852,               0.004852,               0.004852
                     55,                0.82519,                0.40752,                 1.0739,                  0.874,                0.83342,                0.87949,                 0.5807,                 1.0383,                0.46263,                 1.3072,               0.004753,               0.004753,               0.004753
                     56,                 0.8249,                0.40385,                 1.0732,                0.86908,                0.83825,                0.87944,                0.57967,                 1.0393,                0.46478,                 1.3094,               0.004654,               0.004654,               0.004654
                     57,                0.81128,                0.40044,                 1.0551,                0.88123,                0.82939,                0.87901,                0.57923,                 1.0386,                0.46618,                 1.3077,               0.004555,               0.004555,               0.004555
                     58,                0.80655,                0.39436,                 1.0529,                0.88039,                0.82986,                0.87846,                0.57889,                 1.0388,                0.46618,                 1.3069,               0.004456,               0.004456,               0.004456
