                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4232,                 1.1528,                 1.4394,                0.86439,                0.81655,                 0.8678,                0.53267,                 1.1709,                0.63962,                 1.3179,              0.0033316,              0.0033316,              0.0033316
                      2,                 1.3204,                0.85179,                  1.342,                0.87543,                0.80728,                0.88285,                0.55938,                  1.071,                0.62113,                 1.2741,              0.0065329,              0.0065329,              0.0065329
                      3,                 1.3668,                0.93018,                 1.3597,                0.83411,                0.74286,                0.81167,                0.50586,                 1.1324,                0.72522,                 1.2856,              0.0096023,              0.0096023,              0.0096023
                      4,                 1.3882,                 0.9748,                 1.3863,                0.85564,                0.79416,                0.86543,                0.54449,                 1.0555,                0.63153,                 1.2587,               0.009406,               0.009406,               0.009406
                      5,                  1.357,                0.91308,                 1.3759,                0.87035,                0.81447,                0.88514,                0.56107,                 1.0568,                0.58829,                 1.2312,               0.009406,               0.009406,               0.009406
                      6,                 1.3263,                0.84661,                 1.3634,                0.89705,                0.83776,                0.89736,                0.57366,                  1.066,                0.56648,                 1.2321,               0.009208,               0.009208,               0.009208
                      7,                 1.2807,                0.79909,                 1.3332,                0.87947,                0.83617,                0.89869,                0.58217,                 1.0229,                0.52808,                 1.2491,                0.00901,                0.00901,                0.00901
                      8,                  1.255,                 0.7522,                 1.3144,                0.87277,                0.84043,                0.89386,                0.56031,                 1.0722,                 0.5399,                 1.2961,               0.008812,               0.008812,               0.008812
                      9,                 1.2388,                0.72631,                 1.3103,                0.88608,                0.82154,                0.88043,                0.57781,                 1.0246,                0.52087,                 1.2574,               0.008614,               0.008614,               0.008614
                     10,                 1.2158,                0.69274,                 1.2852,                0.90745,                0.84913,                0.89814,                0.57885,                 1.0266,                0.48457,                 1.2888,               0.008416,               0.008416,               0.008416
                     11,                  1.194,                0.67301,                 1.2829,                0.88215,                0.83201,                0.88912,                0.58887,                 0.9989,                0.49565,                 1.2468,               0.008218,               0.008218,               0.008218
                     12,                 1.1783,                0.65107,                 1.2756,                0.90456,                0.84299,                0.90873,                0.58763,                 1.0195,                0.47442,                 1.2787,                0.00802,                0.00802,                0.00802
                     13,                 1.1589,                0.62077,                 1.2648,                0.91603,                 0.8577,                0.91353,                 0.6029,                0.99575,                0.45615,                 1.2516,               0.007822,               0.007822,               0.007822
                     14,                 1.1482,                0.61294,                 1.2603,                0.90886,                 0.8611,                0.92104,                 0.6066,                 1.0105,                0.45253,                 1.2514,               0.007624,               0.007624,               0.007624
                     15,                 1.1276,                0.60141,                 1.2485,                0.89623,                0.85436,                0.91301,                0.60293,                0.99199,                0.44896,                 1.2428,               0.007426,               0.007426,               0.007426
                     16,                 1.1163,                0.59066,                  1.242,                0.92343,                0.83977,                0.90171,                0.60031,                0.98017,                0.44515,                  1.239,               0.007228,               0.007228,               0.007228
                     17,                 1.1007,                0.56911,                 1.2285,                0.91197,                0.86579,                0.91669,                0.60235,                 1.0078,                0.43433,                 1.2681,                0.00703,                0.00703,                0.00703
                     18,                 1.0923,                0.56615,                 1.2291,                0.92214,                0.84634,                0.91157,                0.60064,                   0.99,                0.43833,                 1.2289,               0.006832,               0.006832,               0.006832
                     19,                 1.0676,                0.54924,                 1.2097,                0.89237,                0.85784,                 0.9001,                0.60156,                0.99461,                0.43829,                 1.2487,               0.006634,               0.006634,               0.006634
                     20,                 1.0598,                0.53694,                 1.2067,                0.91344,                0.85802,                0.91022,                0.60048,                0.99855,                0.43725,                 1.2254,               0.006436,               0.006436,               0.006436
                     21,                  1.039,                0.52622,                 1.1994,                0.92152,                0.85186,                 0.9096,                 0.6011,                 1.0027,                0.43211,                 1.2584,               0.006238,               0.006238,               0.006238
                     22,                 1.0264,                0.51727,                  1.192,                0.91191,                0.86543,                 0.9136,                0.61068,                0.99549,                0.42491,                 1.2644,                0.00604,                0.00604,                0.00604
                     23,                  1.015,                0.50331,                 1.1787,                0.91077,                0.85228,                0.90561,                0.60101,                 0.9947,                0.42038,                 1.2548,               0.005842,               0.005842,               0.005842
                     24,                0.99897,                0.50067,                 1.1706,                0.91591,                0.85743,                0.91592,                0.60958,                0.99493,                0.41345,                 1.2623,               0.005644,               0.005644,               0.005644
                     25,                  0.993,                0.49191,                 1.1681,                0.91937,                0.86237,                0.91768,                0.61196,                0.99236,                0.40872,                  1.265,               0.005446,               0.005446,               0.005446
                     26,                0.98295,                0.48244,                  1.154,                0.91806,                0.86429,                0.91768,                0.61278,                  0.995,                0.41477,                 1.2292,               0.005248,               0.005248,               0.005248
                     27,                0.96276,                0.47585,                 1.1546,                 0.9203,                0.85935,                0.91434,                0.60924,                 0.9943,                0.41184,                  1.267,                0.00505,                0.00505,                0.00505
                     28,                0.96039,                0.47036,                 1.1489,                0.90736,                0.87806,                0.91688,                0.61395,                 1.0028,                0.41418,                 1.2712,               0.004852,               0.004852,               0.004852
                     29,                0.94333,                0.45889,                 1.1402,                0.92532,                0.86409,                0.91221,                 0.6029,                 1.0165,                0.41589,                 1.2827,               0.004654,               0.004654,               0.004654
                     30,                0.93236,                0.45655,                 1.1371,                0.91725,                0.84904,                0.90958,                0.60418,                 1.0097,                0.41638,                 1.2837,               0.004456,               0.004456,               0.004456
                     31,                0.92447,                0.44766,                 1.1309,                0.91741,                0.85541,                0.91197,                0.60849,                0.99753,                0.41366,                 1.2482,               0.004258,               0.004258,               0.004258
                     32,                0.90808,                0.43942,                 1.1177,                0.91604,                0.85604,                0.91025,                0.60704,                0.99214,                0.41752,                 1.2926,                0.00406,                0.00406,                0.00406
                     33,                 0.9022,                0.43489,                 1.1139,                0.90936,                0.86155,                 0.9107,                0.60677,                0.99941,                0.41955,                 1.3088,               0.003862,               0.003862,               0.003862
                     34,                0.88226,                0.42571,                 1.1107,                0.91465,                0.86977,                0.91371,                0.60997,                 1.0075,                0.41225,                  1.317,               0.003664,               0.003664,               0.003664
                     35,                0.87568,                0.41967,                 1.0984,                0.91051,                0.86421,                0.91256,                0.60861,                 1.0173,                0.41725,                 1.3054,               0.003466,               0.003466,               0.003466
                     36,                0.86243,                0.41637,                 1.0841,                0.91466,                0.86395,                0.90978,                0.60852,                 1.0127,                0.41576,                 1.2691,               0.003268,               0.003268,               0.003268
                     37,                0.85516,                0.41203,                 1.0901,                0.90714,                0.86487,                0.91366,                0.61309,                  1.008,                0.41277,                 1.2833,                0.00307,                0.00307,                0.00307
                     38,                0.84352,                0.40242,                 1.0832,                0.91819,                0.85585,                0.91229,                0.61052,                 1.0073,                0.41638,                 1.3148,               0.002872,               0.002872,               0.002872
                     39,                0.82996,                0.39795,                 1.0726,                0.91702,                0.85729,                  0.911,                0.60914,                 1.0105,                0.41646,                 1.3247,               0.002674,               0.002674,               0.002674
                     40,                0.82254,                0.39436,                  1.077,                0.92849,                0.85317,                0.91382,                 0.6089,                 1.0132,                0.41649,                 1.3431,               0.002476,               0.002476,               0.002476
                     41,                0.77617,                 0.3293,                 1.0564,                0.90654,                 0.8708,                0.91354,                0.61124,                 1.0141,                0.41483,                 1.3393,               0.002278,               0.002278,               0.002278
                     42,                0.75922,                0.31995,                 1.0415,                0.89511,                0.87824,                0.91358,                0.61111,                 1.0133,                0.41811,                 1.3401,                0.00208,                0.00208,                0.00208
                     43,                0.74427,                0.31496,                 1.0432,                0.90821,                 0.8617,                0.91447,                0.61406,                 1.0142,                0.42263,                 1.3603,               0.001882,               0.001882,               0.001882
                     44,                0.72857,                0.30957,                 1.0346,                0.91143,                0.86028,                0.91396,                0.61362,                 1.0189,                0.42116,                 1.3606,               0.001684,               0.001684,               0.001684
                     45,                0.71434,                  0.301,                 1.0151,                0.91284,                0.86485,                0.91133,                0.60986,                 1.0232,                0.42626,                 1.3663,               0.001486,               0.001486,               0.001486
