                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4273,                 1.1673,                  1.421,                0.79274,                0.77221,                 0.8077,                0.48187,                 1.2831,                0.76306,                 1.3337,              0.0033317,              0.0033317,              0.0033317
                      2,                 1.3325,                0.87906,                 1.3405,                0.79361,                0.77468,                0.82409,                0.50593,                 1.1405,                0.71483,                 1.2783,              0.0065331,              0.0065331,              0.0065331
                      3,                  1.384,                0.96669,                 1.3685,                0.80776,                0.73534,                0.80547,                0.48815,                 1.2043,                0.83013,                 1.3331,              0.0096024,              0.0096024,              0.0096024
                      4,                 1.4053,                  1.009,                 1.3868,                0.81569,                0.77344,                0.82856,                0.50256,                 1.1656,                0.73953,                   1.32,               0.009406,               0.009406,               0.009406
                      5,                 1.3679,                0.93646,                 1.3701,                0.81168,                0.76369,                0.80857,                0.50009,                 1.1491,                 0.6952,                 1.2978,               0.009406,               0.009406,               0.009406
                      6,                 1.3362,                0.87329,                 1.3553,                0.84346,                0.77203,                0.83475,                0.51413,                 1.1106,                0.63869,                 1.2827,               0.009208,               0.009208,               0.009208
                      7,                 1.2977,                0.81137,                  1.335,                0.84215,                0.81759,                0.85929,                0.52857,                 1.1599,                0.61751,                  1.304,                0.00901,                0.00901,                0.00901
                      8,                  1.276,                0.77786,                 1.3274,                 0.8359,                 0.7919,                0.84907,                0.52312,                 1.1003,                0.59009,                 1.2806,               0.008812,               0.008812,               0.008812
                      9,                  1.256,                0.74016,                 1.3126,                0.84598,                 0.8036,                0.85162,                0.53907,                 1.0993,                0.57461,                 1.2722,               0.008614,               0.008614,               0.008614
                     10,                 1.2241,                0.70666,                 1.3037,                 0.8432,                0.81031,                0.85844,                0.54098,                 1.1082,                0.57043,                 1.2994,               0.008416,               0.008416,               0.008416
                     11,                 1.2041,                0.68502,                 1.2896,                0.86635,                0.81569,                0.86899,                0.54397,                 1.0966,                0.53866,                 1.2907,               0.008218,               0.008218,               0.008218
                     12,                 1.1826,                0.65722,                 1.2749,                0.84665,                0.81386,                0.85715,                0.54722,                 1.0765,                0.53123,                  1.261,                0.00802,                0.00802,                0.00802
                     13,                 1.1617,                0.63536,                 1.2541,                0.85939,                0.83525,                0.87666,                0.55229,                 1.0845,                0.52473,                 1.2874,               0.007822,               0.007822,               0.007822
                     14,                 1.1434,                0.61902,                 1.2461,                0.86557,                0.81928,                0.86728,                0.55141,                 1.0969,                0.52274,                 1.2718,               0.007624,               0.007624,               0.007624
                     15,                 1.1344,                 0.6056,                 1.2371,                0.85951,                0.82389,                0.86873,                0.55703,                 1.0848,                0.51501,                  1.292,               0.007426,               0.007426,               0.007426
                     16,                 1.1214,                 0.5931,                 1.2377,                 0.8532,                0.81467,                0.86207,                0.55004,                 1.0775,                0.52268,                 1.2677,               0.007228,               0.007228,               0.007228
                     17,                 1.1005,                0.57592,                 1.2227,                0.84948,                0.82123,                0.85472,                 0.5489,                 1.1065,                0.51872,                 1.2828,                0.00703,                0.00703,                0.00703
                     18,                 1.0921,                0.56515,                 1.2145,                0.84956,                0.82692,                0.86776,                0.55137,                  1.105,                0.52015,                 1.3014,               0.006832,               0.006832,               0.006832
                     19,                 1.0724,                0.55403,                 1.2085,                0.87024,                0.82041,                0.86609,                0.55686,                 1.0829,                0.50984,                 1.2951,               0.006634,               0.006634,               0.006634
